period	total_retail_ssu	matik_volume	matik_pct	cub_volume	cub_pct	sport_volume	sport_pct	ev_volume	ev_pct	top1_model_code	top1_model_name	top1_volume	top1_share_pct	top2_model_code	top2_model_name	top2_volume	top2_share_pct	top3_model_code	top3_model_name	top3_volume	top3_share_pct
YTD Jan-Jul 2026	73968	59101	79.90	10825	14.63	4028	5.45	14	0.02	MM1	BEAT STREET	8785	11.88	MJ1	BEAT SPORTY CBS	8151	11.02	GD4	REVO X	4655	6.29
Jan 2026	10112	8100	80.10	1480	14.64	530	5.24	2	0.02	MM1	BEAT STREET	1484	14.68	MJ1	BEAT SPORTY CBS	1065	10.53	GD4	REVO X	700	6.92
Feb 2026	9845	7890	80.14	1430	14.53	524	5.32	1	0.01	MM1	BEAT STREET	1526	15.50	MJ1	BEAT SPORTY CBS	1216	12.35	MRB	SCOOPY FASHION	717	7.28
Mar 2026	10450	8360	80.00	1540	14.74	548	5.24	2	0.02	MM1	BEAT STREET	1592	15.23	MJ1	BEAT SPORTY CBS	1347	12.89	MRB	SCOOPY FASHION	895	8.56
Apr 2026	10210	8168	80.00	1490	14.59	550	5.39	2	0.02	MJ1	BEAT SPORTY CBS	1076	10.54	MM1	BEAT STREET	1039	10.18	GD4	REVO X	564	5.52
May 2026	10360	8288	80.00	1514	14.61	558	5.39	0	0.00	MM1	BEAT STREET	1202	11.60	MJ1	BEAT SPORTY CBS	1129	10.90	GD4	REVO X	646	6.24
Jun 2026	10750	8600	80.00	1570	14.60	577	5.37	3	0.03	MM1	BEAT STREET	1328	12.35	MJ1	BEAT SPORTY CBS	1310	12.19	GD4	REVO X	681	6.33
Jul 2026	12241	9695	79.20	1801	14.71	741	6.05	4	0.03	GD4	REVO X	840	6.86	MS1	SCOOPY PRESTIGE	684	5.59	MJ2	BEAT SPORTY CBS	665	5.43
