kabupaten	segment	honda_2026	total_market_2026	market_share_2026_pct	honda_2025	total_market_2025	market_share_2025_pct	delta_pp	market_contribution_to_province_2026_pct	period	source_file	provenance
Bungo	Sport Low	77	77	100.0	64	64	100.0	0.0	0.09741656334606918	YTD_JAN_JUN_2026	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026/2025 raw rows; K=All Kabupaten; J=9 Segment; H=Brand; G=Unit
Bungo	Sport Mid	500	568	88.02816901408451	273	333	81.98198198198197	6.046187032102537	0.718605298448926	YTD_JAN_JUN_2026	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026/2025 raw rows; K=All Kabupaten; J=9 Segment; H=Brand; G=Unit
Kodya Jambi	ALL	9976	11855	84.15014761703922	8121	9773	83.09628568505065	1.0538619319885782	14.998355304774677	YTD_JAN_JUN_2026	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026/2025 raw rows; K=All Kabupaten; J=9 Segment; H=Brand; G=Unit
Kodya Jambi	AT High	2494	3678	67.80859162588364	1867	2856	65.37114845938376	2.4374431664998752	4.65322233749146	YTD_JAN_JUN_2026	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026/2025 raw rows; K=All Kabupaten; J=9 Segment; H=Brand; G=Unit
Kodya Jambi	AT Low	3675	3776	97.32521186440678	2966	3044	97.43758212877792	-0.11237026437113684	4.777207054477366	YTD_JAN_JUN_2026	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026/2025 raw rows; K=All Kabupaten; J=9 Segment; H=Brand; G=Unit
Kodya Jambi	AT Mid	2782	2970	93.67003367003367	2354	2556	92.09702660406886	1.5730070659648163	3.7574960147769536	YTD_JAN_JUN_2026	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026/2025 raw rows; K=All Kabupaten; J=9 Segment; H=Brand; G=Unit
Kodya Jambi	Cub High	12	114	10.526315789473683	22	106	20.754716981132077	-10.228401191658394	0.14422711975911542	YTD_JAN_JUN_2026	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026/2025 raw rows; K=All Kabupaten; J=9 Segment; H=Brand; G=Unit
Kodya Jambi	Cub Low	365	368	99.18478260869566	333	334	99.7005988023952	-0.5158161936995498	0.46557526378381114	YTD_JAN_JUN_2026	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026/2025 raw rows; K=All Kabupaten; J=9 Segment; H=Brand; G=Unit
Kodya Jambi	Cub Mid	260	455	57.14285714285714	256	459	55.773420479302835	1.3694366635543034	0.575643328863136	YTD_JAN_JUN_2026	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026/2025 raw rows; K=All Kabupaten; J=9 Segment; H=Brand; G=Unit
Kodya Jambi	Sport High	4	26	15.384615384615385	2	11	18.181818181818183	-2.7972027972027984	0.03289390450646491	YTD_JAN_JUN_2026	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026/2025 raw rows; K=All Kabupaten; J=9 Segment; H=Brand; G=Unit
