period	total_dealers_monitored	total_flp_headcount	active_flp_count	new_onboarding_flp_count	dormant_flp_count	sales_counter_count	field_sales_count	wing_sales_count	spv_tl_count	avg_retail_per_flp	avg_productivity_index_pct	above_expectation_pct	within_expectation_pct	below_expectation_pct	critical_gap_pct	nos_benchmark_achievement_pct
YTD Jan-Jul 2026	28	384	352	24	8	168	144	48	24	7.8	94.2	38.5	41.2	15.1	5.2	79.7
Jan 2026	28	378	348	22	8	165	142	47	24	7.6	92.5	37.2	41.5	15.8	5.5	78.7
Feb 2026	28	380	350	21	9	166	143	47	24	7.5	91.8	36.8	41.8	16.0	5.4	78.6
Mar 2026	28	382	354	20	8	167	144	47	24	7.9	95.1	39.2	41.0	14.8	5.0	80.2
Apr 2026	28	381	351	22	8	167	143	47	24	7.8	93.8	38.0	41.2	15.4	5.4	79.2
May 2026	28	383	353	23	7	168	143	48	24	7.8	94.5	38.6	41.4	15.0	5.0	80.0
Jun 2026	28	384	352	24	8	168	144	48	24	8.0	96.2	40.1	40.5	14.5	4.9	80.6
Jul 2026	28	386	356	22	8	169	145	48	24	8.8	102.4	44.5	39.8	11.2	4.5	84.3
