area_code	kabupaten	kecamatan	kelurahan_desa	source_sheet	kecamatan_source_row	kelurahan_source_row
AREA 558	Tanjab Timur	RANTAU RASAU	Sungai dusun	Tanjab Timur	136	146
AREA 559	Tanjab Timur	RANTAU RASAU	Marga Mulya	Tanjab Timur	136	147
AREA 560	Tanjab Timur	RANTAU RASAU	Pematang Mayan	Tanjab Timur	136	148
AREA 561	Tanjab Timur	RANTAU RASAU	Tri Mulyo	Tanjab Timur	136	149
AREA 562	Tanjab Timur	SADU	Sungai lokan	Tanjab Timur	152	155
AREA 563	Tanjab Timur	SADU	Sungai sayang	Tanjab Timur	152	156
AREA 564	Tanjab Timur	SADU	Sungai jambat	Tanjab Timur	152	157
AREA 565	Tanjab Timur	SADU	Sungai Itik	Tanjab Timur	152	158
AREA 566	Tanjab Timur	SADU	Sungaibenuh	Tanjab Timur	152	159
AREA 567	Tanjab Timur	SADU	Sungai Cemara	Tanjab Timur	152	160
AREA 568	Tanjab Timur	SADU	Remau Baku Tuo	Tanjab Timur	152	161
AREA 569	Tanjab Timur	SADU	Labuhan Pering	Tanjab Timur	152	162
AREA 570	Tanjab Timur	SADU	Air Hitam Laut	Tanjab Timur	152	163
