section	kabupaten_source	kecamatan	dealer_or_pos	ring_status	source_file	sheet	source_cell	currentness
Kota Jambi	JAMBI	DANAU SIPIN	NSS Jambi	Ring 2	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	H7	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	DANAU SIPIN	PAS JAMBI	Ring 3	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	I7	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	DANAU SIPIN	POS DAM Chandra	Other	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	J7	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	DANAU SIPIN	POS DAM Mayang	Ring 3	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	K7	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	DANAU SIPIN	POS HSO Liverpool	Other	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	L7	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	DANAU SIPIN	POS SSM Mayang	Ring 2	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	M7	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	DANAU SIPIN	POS TDM Buluran	Lokasi	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	N7	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	DANAU SIPIN	SM Talang Bakung	Other	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	O7	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	DANAU SIPIN	SSM Rawasari	Ring 2	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	P7	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	DANAU SIPIN	SSM The Hok	Ring 2	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	Q7	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	DANAU SIPIN	SSP Abunjani	Ring 1	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	R7	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	DANAU SIPIN	SSP Handil	Ring 2	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	S7	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	DANAU SIPIN	SSP Paal VI	Other	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	T7	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
