bundle_id	source_archive	input_type	privacy_class	physical_files	uncompressed_bytes	sha256
PROFESSIONAL_CORPUS_ASSDP	1. ASSDP Lite.zip	NEW_SOURCE_DOCUMENT	PRIVATE_SOURCE	61	261993779	1f450f3d967fcc50a9ed4e6493622215d84e00bf5f95cd1070d1f75e8fd8fec0
PROFESSIONAL_CORPUS_ALL	All.zip	NEW_SOURCE_DOCUMENT	PRIVATE_SOURCE	56	196319767	d4e9a988705991a4ede4a69abfbc19537832cf6afda973e8c8fa26596f61b98e
NOS_BASELINE	NOS.zip	NEW_SOURCE_DOCUMENT	PRIVATE_SOURCE	11	12008660	82fc95a3374c36c0b4597b518f85d219095166e9e9379304bd07bfecb41d3dee
BUSINESS_MEMORY_MARKET_SALES_STOCK	Mapping Ring, Market, Sales, Stock(1).zip	CURRENT_BUSINESS_DATA	PRIVATE_SENSITIVE	33	442913984	9e50102108667ceb0297ee39f9721e736d3bdb37e2027822278fb38b2e1bf5d1
COMMERCIAL_PROGRAM_MSW_2026	2026-MSW.zip	CURRENT_BUSINESS_DATA	PRIVATE_COMMERCIAL	202	144582870	f6032dc42767868379352e7254aa0326e0d3e8a9fd94ef56975ceec1f9a11089
